#{"t_start": 1728489911.485152, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-468.568898,196,2.126932
-852.756193,89,3.99463
-597.1701,109,6.298723
-533.448004,82,8.098359
-655.653615,104,10.288348
-684.571771,82,12.103998
-907.566555,132,14.790438
-614.048359,100,16.799264
-576.769118,62,18.044395
-682.802247,60,19.302538
-747.972099,123,21.856859
-531.876932,60,23.125011
-1474.599124,221,27.615091
-1377.158418,218,32.045116
-542.811075,108,34.289155
-809.285265,108,36.437108
-949.509199,129,39.023457
-773.60566,164,42.371499
-684.474697,119,44.765674
-792.358102,110,46.987694
-902.865597,155,50.178592
-814.172509,330,56.980773
-323.807014,91,58.80343
-279.959253,87,60.558023
-510.178118,448,69.704334
-280.397226,78,71.30579
-524.076034,471,81.29715
-346.318965,97,83.29659
-292.053863,717,98.40697
-305.803479,773,114.943696
-408.104449,321,121.513665
-211.793354,182,125.307112
-428.711583,76,126.849514
-264.253977,382,134.987909
-565.131748,135,137.76243
-208.989626,395,146.731577
-607.07474,308,153.258507
-168.209838,388,161.695173
-138.10968,336,168.67852
-109.895939,178,172.331839
-172.96952,330,179.044938
-156.839077,629,193.207806
