#{"t_start": 1728496616.835663, "env_id": "LunarLanderContinuous-v2"}
r,l,t
27.056625,85,0.072065
-87.911168,159,0.159143
-417.341473,130,0.219199
-316.817948,127,0.293265
-343.594593,103,0.363329
-212.591794,83,0.396359
-315.653787,86,0.429391
-304.346583,133,0.493449
-354.111764,129,0.564451
-346.8792,83,0.603486
-235.170665,101,0.640522
-68.414876,84,0.672551
-170.449799,117,0.725602
-265.495836,86,0.758631
-67.284481,71,0.792662
-122.680429,98,0.8317
-301.606019,106,0.872738
-191.606079,88,0.913776
-327.165543,110,0.957817
-232.445059,102,1.021875
-406.651765,98,1.05991
-133.746467,85,1.097946
-440.717957,114,1.145991
-70.507701,167,1.22807
-330.433318,117,1.276114
-516.154819,112,1.326159
-64.972725,79,1.357187
-441.823323,113,1.401227
-355.198143,105,1.450277
-169.379936,78,1.482307
-153.041174,111,1.538357
-220.684853,95,1.617428
-172.248047,182,1.756555
-114.906171,86,1.793588
-334.659347,125,1.855644
-282.793557,146,1.92671
-156.040777,134,2.005395
-404.743941,92,2.042429
-205.911577,103,2.097479
-95.66107,93,2.135513
-283.370999,92,2.181555
-339.5364,88,2.217589
-54.507788,71,2.245614
-154.051966,94,2.289654
-254.014768,115,2.336696
-89.693958,140,2.406761
-92.999309,78,2.436787
-131.778014,123,2.500845
-185.119925,101,2.541883
-386.886139,86,2.574913
-345.190279,112,2.629964
-61.938342,85,2.664995
-124.679094,123,2.734144
-172.021396,74,2.764172
-118.948816,102,2.819221
-136.276259,99,2.860259
-293.200992,90,2.899294
-83.031459,100,2.983371
-225.910642,121,3.062442
-40.943132,80,3.096473
-125.119935,68,3.129504
-179.955451,135,3.198566
-141.941768,89,3.241605
-210.14438,71,3.271632
-318.121596,95,3.314691
-287.474016,96,3.366738
-100.23741,96,3.405773
-50.033532,80,3.464528
-71.41411,108,3.510441
-134.333324,113,3.564493
-273.095407,121,3.619544
-477.818891,150,3.700617
-19.026407,108,3.762674
-77.191853,78,3.796705
-85.349834,67,3.826731
-83.268002,165,3.915813
-121.771087,178,4.073957
-252.385083,126,4.131009
-76.060434,125,4.188061
-372.163519,131,4.244111
-82.215567,128,4.305167
-251.000726,98,4.346203
-125.147505,132,4.410262
-85.686231,82,4.442292
-76.804593,154,4.541381
-353.407448,130,4.596431
-30.853747,79,4.633465
-303.33875,150,4.700525
-258.794533,92,4.743565
-367.922647,144,4.806622
-401.664199,85,4.846659
-73.282112,81,4.878689
-101.376208,117,4.933738
-373.378573,99,5.655393
-274.488854,159,7.772811
-108.495453,92,8.835781
0.924254,230,11.651318
0.619928,1000,27.016236
182.219698,545,34.539307
-19.203285,353,39.002162
-33.404865,767,50.217944
-17.050882,201,52.549069
-134.982015,348,56.964659
-77.159486,1000,72.17824
-110.791475,495,78.479844
75.780012,599,86.930759
-56.014995,250,90.442802
-91.913538,540,97.553782
-192.999487,685,106.47368
-76.36768,399,111.779707
-113.802805,1000,127.682756
-148.907467,332,132.10288
-175.48496,687,142.330077
-92.86713,298,146.165577
-85.721007,276,149.679268
-171.392254,774,160.111086
-0.783493,232,163.029309
-59.350384,291,167.324779
-46.395199,253,171.383728
-109.581412,326,175.950142
-44.500071,1000,192.835182
176.930568,503,199.768224
-45.746227,267,203.112262
-169.272588,319,207.121176
-127.555535,506,214.580434
-186.552276,702,225.617027
-156.68768,333,230.018503
-156.141916,424,235.583235
-159.516814,461,241.613455
-229.758206,377,247.240718
-38.60107,262,250.785532
-215.577095,580,258.737503
-127.675682,130,260.382009
-319.56141,415,266.001961
-10.607619,104,267.265119
-87.70844,106,268.574309
-120.512399,235,271.408884
-31.202534,1000,284.915031
228.949809,519,291.783763
-129.858267,1000,305.733889
-107.338141,1000,321.696657
-71.963746,1000,335.739902
-98.935212,157,337.610602
-53.265743,1000,351.502291
-229.997794,930,364.584614
-18.77383,1000,378.622078
-79.342149,208,381.059293
-55.933446,1000,394.399776
-45.961484,1000,407.728946
-120.965271,1000,422.214917
46.427459,1000,436.461889
-27.144938,1000,450.011616
-180.369677,490,456.50385
-147.232973,468,462.625348
-1.204606,245,465.486952
-251.641785,500,471.933026
-84.141306,1000,485.939054
34.975586,247,488.637505
-61.960173,1000,504.574987
190.315932,429,509.870799
-349.874092,752,519.758783
221.16957,600,527.641956
-21.393828,1000,542.126325
98.955506,730,552.066357
-233.708031,210,554.574641
141.938782,670,563.409541
-173.536589,274,566.796619
-353.161401,938,579.785421
-177.851812,306,583.303622
-292.411887,691,592.620086
-198.207964,155,594.424726
-223.612701,319,598.204464
-23.543013,190,600.412477
-42.021566,70,601.201193
70.543471,618,609.29238
-61.233066,1000,623.324283
-23.551272,550,630.257162
-562.423877,896,642.643191
48.636624,1000,658.334548
-25.790661,1000,674.546948
60.041192,1000,689.792257
-201.778097,242,692.611122
-18.633981,1000,708.286572
-443.161653,284,711.621602
160.39759,936,725.377857
24.154229,1000,739.984458
143.254059,884,752.385975
239.945957,592,760.66536
224.204952,555,767.831635
-70.726803,378,772.545918
1.790507,313,776.403039
228.781178,515,782.854702
204.125702,435,788.538312
208.461,397,793.563874
254.048721,308,797.587682
257.885434,333,802.02414
277.810506,258,805.070908
257.241905,299,808.602117
278.773572,422,813.814794
217.638838,411,819.033962
198.249867,552,826.472135
240.426266,466,832.279976
181.476612,740,841.804921
218.625263,655,850.001089
-82.7043,1000,862.732981
-119.664801,534,869.068822
153.485839,958,882.170107
261.859552,293,885.714484
160.839925,867,896.966408
43.4127,1000,910.866461
-292.736246,179,912.908315
-213.73747,222,915.532238
10.968744,1000,929.595214
-8.863756,1000,943.183722
253.736894,301,946.951463
191.671147,404,951.854426
4.764994,1000,965.015326
235.841697,373,969.861729
-26.48973,1000,983.233613
238.01519,296,986.869287
-124.695857,134,988.460734
-230.762982,330,992.657855
-278.478981,230,995.430296
261.76259,302,999.178702
-76.959785,164,1001.225042
180.521752,684,1009.942256
273.791815,358,1014.527271
278.88142,284,1018.410916
173.015292,555,1026.219249
114.638819,700,1036.087716
218.34254,651,1045.085709
223.703863,470,1051.256457
264.047128,354,1055.822117
-244.609042,262,1059.041068
234.824436,407,1064.776126
213.155987,669,1073.611001
193.256791,525,1080.586521
255.76009,246,1083.608105
177.993189,585,1092.068509
83.345917,782,1103.412722
243.411171,286,1107.247383
162.147733,606,1116.520918
184.239209,838,1128.422774
208.790943,301,1132.621239
244.396139,526,1139.726454
-92.662403,484,1146.172762
251.767552,325,1150.410612
181.313263,647,1159.096026
28.57605,1000,1173.119133
61.790518,920,1186.238463
256.593976,377,1191.054373
-48.849875,1000,1205.742877
-83.447444,660,1214.898289
4.559734,132,1216.456531
-57.472283,1000,1230.610288
201.613909,595,1238.760323
